iter	RMSE
0	1.389045187e-06
1	1.296442173e-06
2	1.21436582e-06
3	1.138884667e-06
4	1.061110906e-06
5	9.889506443e-07
6	9.313783498e-07
7	8.840373513e-07
8	8.25101527e-07
9	7.687349577e-07
10	7.174534615e-07
11	6.6962323e-07
12	6.249448646e-07
13	5.829007159e-07
14	5.436592446e-07
15	5.074152944e-07
16	4.735876076e-07
17	4.422524204e-07
18	4.131251751e-07
19	3.855834963e-07
20	3.597238662e-07
21	3.357422747e-07
22	3.137445868e-07
23	2.928282807e-07
24	2.73306395e-07
25	2.550859684e-07
26	2.380802369e-07
27	2.222082209e-07
28	2.073943393e-07
29	1.935680498e-07
30	1.80663513e-07
31	1.686192786e-07
32	1.573779932e-07
33	1.468861268e-07
34	1.370937182e-07
35	1.279541369e-07
36	1.194238609e-07
37	1.114622701e-07
38	1.04031452e-07
39	9.709602174e-08
40	9.062295353e-08
41	8.45814232e-08
42	7.894266157e-08
43	7.367981739e-08
44	6.876782949e-08
45	6.418330746e-08
46	5.990442023e-08
47	5.591079215e-08
48	5.218340595e-08
49	4.870451217e-08
50	4.545754465e-08
51	4.242704162e-08
52	3.959857214e-08
53	3.695866729e-08
54	3.44947561e-08
55	3.219510566e-08
56	3.004876525e-08
57	2.804551421e-08
58	2.617581323e-08
59	2.443075899e-08
60	2.28020417e-08
61	2.128190556e-08
62	1.986311184e-08
63	1.853890436e-08
64	1.730297739e-08
65	1.614944554e-08
66	1.507281582e-08
67	1.406796142e-08
68	1.313009731e-08
69	1.225475748e-08
70	1.143777363e-08
71	1.067525538e-08
72	9.963571678e-09
73	9.299333556e-09
74	8.679377977e-09
75	8.10075277e-09
76	7.560702577e-09
77	7.056655731e-09
78	6.586212008e-09
79	6.147131201e-09
80	5.737322449e-09
81	5.35483428e-09
82	4.997845322e-09
83	4.664655629e-09
84	4.353678583e-09
85	4.063433339e-09
86	3.792537779e-09
87	3.539701924e-09
88	3.303721792e-09
89	3.083473669e-09
90	2.877908755e-09
91	2.686048168e-09
92	2.506978288e-09
93	2.339846399e-09
94	2.183856637e-09
95	2.038266193e-09
96	1.902381778e-09
97	1.775556324e-09
98	1.657185901e-09
99	1.546706839e-09
100	1.443593048e-09
101	1.34735351e-09
102	1.257529941e-09
103	1.173694611e-09
104	1.095448302e-09
105	1.022418414e-09
106	9.542571857e-10
107	8.90640039e-10
108	8.312640355e-10
109	7.758464323e-10
110	7.241233361e-10
111	6.758484463e-10
112	6.307918825e-10
113	5.887390897e-10
114	5.494898165e-10
115	5.128571615e-10
116	4.786666836e-10
117	4.467555709e-10
118	4.169718657e-10
119	3.891737409e-10
120	3.632288244e-10
121	3.390135691e-10
122	3.164126642e-10
123	2.953184863e-10
124	2.756305869e-10
125	2.572552141e-10
126	2.401048663e-10
127	2.24097875e-10
128	2.091580164e-10
129	1.952141484e-10
130	1.821998717e-10
131	1.700532134e-10
132	1.587163323e-10
133	1.481352433e-10
134	1.382595603e-10
135	1.290422561e-10
136	1.204394389e-10
137	1.124101429e-10
138	1.049161333e-10
139	9.792172427e-11
140	9.139360922e-11
141	8.530070185e-11
142	7.961398831e-11
143	7.430638901e-11
144	6.935262967e-11
145	6.472912095e-11
146	6.041384616e-11
147	5.638625635e-11
148	5.262717254e-11
149	4.911869432e-11
150	4.584411465e-11
151	4.278784029e-11
152	3.993531757e-11
153	3.727296302e-11
154	3.478809878e-11
155	3.246889216e-11
156	3.030429932e-11
157	2.828401267e-11
158	2.63984118e-11
159	2.463851765e-11
160	2.299594978e-11
161	2.146288644e-11
162	2.003202732e-11
163	1.869655882e-11
164	1.745012154e-11
165	1.628678009e-11
166	1.520099473e-11
167	1.418759507e-11
168	1.324175538e-11
169	1.235897168e-11
170	1.153504022e-11
171	1.076603753e-11
172	1.004830168e-11
173	9.378414893e-12
174	8.753187224e-12
175	8.169641401e-12
176	7.624998633e-12
177	7.116665383e-12
178	6.642221017e-12
179	6.199406276e-12
180	5.786112518e-12
181	5.400371678e-12
182	5.040346894e-12
183	4.704323763e-12
184	4.390702174e-12
185	4.097988691e-12
186	3.824789441e-12
187	3.569803475e-12
188	3.331816573e-12
189	3.109695464e-12
190	2.90238243e-12
191	2.708890266e-12
192	2.528297579e-12
193	2.359744404e-12
194	2.202428108e-12
195	2.055599565e-12
196	1.918559592e-12
197	1.790655618e-12
198	1.671278575e-12
199	1.559860001e-12
200	1.455869333e-12
201	1.358811376e-12
202	1.26822395e-12
203	1.183675685e-12
204	1.104763972e-12
205	1.031113039e-12
206	9.623721689e-13
207	8.982140233e-13
208	8.383330875e-13
209	7.824442143e-13
210	7.302812658e-13
211	6.815958473e-13
212	6.361561235e-13
213	5.937457145e-13
214	5.541626663e-13
215	5.17218488e-13
216	4.82737255e-13
217	4.505547709e-13
218	4.205177857e-13
219	3.924832663e-13
220	3.663177148e-13
221	3.418965334e-13
222	3.191034308e-13
223	2.978298685e-13
224	2.779745437e-13
225	2.594429073e-13
226	2.421467133e-13
227	2.260035989e-13
228	2.10936692e-13
229	1.968742457e-13
230	1.837492959e-13
231	1.714993425e-13
232	1.600660529e-13
233	1.493949825e-13
234	1.394353169e-13
235	1.30139629e-13
236	1.214636536e-13
237	1.133660766e-13
238	1.058083379e-13
239	9.875444869e-14
240	9.217081865e-14
241	8.602609743e-14
242	8.029102413e-14
243	7.49382891e-14
244	6.994240313e-14
245	6.527957608e-14
246	6.092760425e-14
247	5.686576387e-14
248	5.307471285e-14
249	4.95363987e-14
250	4.623397215e-14
251	4.315170733e-14
252	4.027492669e-14
253	3.758993159e-14
254	3.508393617e-14
255	3.274500704e-14
256	3.056200649e-14
257	2.852453939e-14
258	2.662290332e-14
259	2.4848043e-14
260	2.319150677e-14
261	2.164540627e-14
262	2.020237914e-14
263	1.885555386e-14
264	1.759851697e-14
265	1.64252824e-14
266	1.533026353e-14
267	1.43082459e-14
268	1.335436293e-14
269	1.246407205e-14
270	1.163313389e-14
271	1.085759153e-14
272	1.013375215e-14
273	9.458168564e-15
274	8.827624032e-15
275	8.239115755e-15
276	7.689841304e-15
277	7.177185214e-15
278	6.698706135e-15
279	6.252125652e-15
280	5.835317356e-15
281	5.44629628e-15
282	5.083209948e-15
283	4.744329294e-15
284	4.428040583e-15
285	4.132837791e-15
286	3.857315173e-15
287	3.600160778e-15
288	3.360149976e-15
289	3.136139915e-15
290	2.927063974e-15
291	2.731926278e-15
292	2.549797856e-15
293	2.3798114e-15
294	2.221157379e-15
295	2.073080293e-15
296	1.934874966e-15
297	1.805883275e-15
298	1.685491059e-15
299	1.573124966e-15
